winner,turns,win_rate
AI,25,1.0
AI,24,1.0
AI,41,1.0
AI,34,1.0
Human,30,0.8
Human,21,0.6666666666666666
AI,67,0.7142857142857143
Human,13,0.625
AI,29,0.6666666666666666
AI,24,0.7
AI,23,0.7272727272727273
Human,19,0.6666666666666666
AI,31,0.6923076923076923
Human,15,0.6428571428571429
Human,40,0.6
AI,14,0.625
Human,18,0.5882352941176471
AI,38,0.6111111111111112
AI,83,0.631578947368421
AI,12,0.65
Human,20,0.6190476190476191
AI,78,0.6363636363636364
AI,23,0.6521739130434783
AI,70,0.6666666666666666
AI,47,0.68
Human,41,0.6538461538461539
AI,19,0.6666666666666666
Human,33,0.6428571428571429
AI,15,0.6551724137931034
AI,14,0.6666666666666666
AI,21,0.6774193548387096
Human,13,0.65625
AI,17,0.6666666666666666
AI,16,0.6764705882352942
Human,74,0.6571428571428571
Human,27,0.6388888888888888
AI,25,0.6486486486486487
Human,25,0.631578947368421
AI,13,0.6410256410256411
AI,24,0.65
Human,60,0.6341463414634146
Human,39,0.6190476190476191
Human,48,0.6046511627906976
AI,48,0.6136363636363636
AI,15,0.6222222222222222
AI,14,0.6304347826086957
AI,21,0.6382978723404256
Human,13,0.625
Human,26,0.6122448979591837
Human,81,0.6
AI,23,0.6078431372549019
AI,50,0.6153846153846154
Human,70,0.6037735849056604
AI,26,0.6111111111111112
Human,24,0.6
AI,13,0.6071428571428571
AI,27,0.6140350877192983
AI,80,0.6206896551724138
AI,51,0.6271186440677966
AI,38,0.6333333333333333
AI,47,0.639344262295082
Human,59,0.6290322580645161
Human,12,0.6190476190476191
AI,46,0.625
AI,9,0.6307692307692307
Human,27,0.6212121212121212
AI,61,0.6268656716417911
AI,82,0.6323529411764706
Human,32,0.6231884057971014
Human,41,0.6142857142857143
AI,21,0.6197183098591549
Human,27,0.6111111111111112
AI,23,0.6164383561643836
Human,30,0.6081081081081081
Human,20,0.6
Human,51,0.5921052631578947
Human,16,0.5844155844155844
Human,27,0.5769230769230769
AI,45,0.5822784810126582
Human,21,0.575
Human,102,0.5679012345679012
AI,16,0.573170731707317
AI,17,0.5783132530120482
AI,42,0.5833333333333334
Human,26,0.5764705882352941
Human,31,0.5697674418604651
AI,127,0.5747126436781609
AI,84,0.5795454545454546
AI,11,0.5842696629213483
Human,97,0.5777777777777777
Human,38,0.5714285714285714
AI,14,0.5760869565217391
Human,76,0.5698924731182796
AI,24,0.574468085106383
AI,61,0.5789473684210527
Human,71,0.5729166666666666
Human,36,0.5670103092783505
AI,12,0.5714285714285714
AI,19,0.5757575757575758
AI,44,0.58
Human,34,0.5742574257425742
AI,12,0.5784313725490197
AI,99,0.5825242718446602
Human,19,0.5769230769230769
Human,44,0.5714285714285714
Human,37,0.5660377358490566
AI,79,0.5700934579439252
AI,42,0.5740740740740741
AI,83,0.5779816513761468
Human,39,0.5727272727272728
Human,62,0.5675675675675675
Human,23,0.5625
AI,31,0.5663716814159292
AI,34,0.5701754385964912
Human,13,0.5652173913043478
AI,92,0.5689655172413793
AI,23,0.5726495726495726
AI,22,0.576271186440678
AI,21,0.5798319327731093
AI,34,0.5833333333333334
AI,29,0.5867768595041323
Human,39,0.5819672131147541
Human,26,0.5772357723577236
AI,70,0.5806451612903226
Human,78,0.576
AI,58,0.5793650793650794
AI,43,0.5826771653543307
AI,48,0.5859375
AI,9,0.5891472868217055
AI,28,0.5923076923076923
Human,28,0.5877862595419847
AI,20,0.5909090909090909
Human,34,0.5864661654135338
AI,38,0.5895522388059702
Human,40,0.5851851851851851
AI,18,0.5882352941176471
Human,26,0.583941605839416
Human,79,0.5797101449275363
AI,29,0.5827338129496403
Human,19,0.5785714285714286
Human,32,0.574468085106383
Human,17,0.5704225352112676
Human,24,0.5664335664335665
Human,19,0.5625
AI,19,0.5655172413793104
AI,44,0.5684931506849316
Human,34,0.564625850340136
AI,24,0.5675675675675675
Human,94,0.5637583892617449
AI,60,0.5666666666666667
AI,57,0.5695364238410596
AI,72,0.5723684210526315
AI,27,0.5751633986928104
AI,60,0.577922077922078
Human,30,0.5741935483870968
AI,12,0.5769230769230769
Human,14,0.5732484076433121
Human,23,0.569620253164557
AI,37,0.5723270440251572
Human,31,0.56875
AI,35,0.5714285714285714
AI,26,0.5740740740740741
AI,33,0.5766871165644172
Human,51,0.573170731707317
AI,71,0.5757575757575758
Human,31,0.572289156626506
AI,13,0.5748502994011976
Human,15,0.5714285714285714
Human,12,0.5680473372781065
AI,56,0.5705882352941176
Human,16,0.5672514619883041
AI,44,0.5697674418604651
Human,60,0.5664739884393064
AI,32,0.5689655172413793
Human,24,0.5657142857142857
AI,40,0.5681818181818182
Human,26,0.5649717514124294
AI,16,0.5674157303370787
AI,25,0.5698324022346368
AI,32,0.5722222222222222
AI,31,0.574585635359116
Human,25,0.5714285714285714
Human,14,0.5683060109289617
AI,44,0.5706521739130435
AI,21,0.572972972972973
AI,174,0.5752688172043011
Human,84,0.5721925133689839
Human,63,0.5691489361702128
Human,106,0.5661375661375662
Human,97,0.5631578947368421
Human,20,0.5602094240837696
AI,42,0.5625
AI,53,0.5647668393782384
AI,56,0.5670103092783505
Human,14,0.5641025641025641
AI,36,0.5663265306122449
AI,37,0.5685279187817259
AI,32,0.5707070707070707
AI,65,0.5728643216080402
AI,74,0.575
